date,vlsfo_usd_per_mt,mgo_usd_per_mt,notes
2024-01-19,626.08,801.96,approximate real
2024-01-26,635.15,802.32,approximate real
2024-02-02,633.62,805.41,approximate real
2024-02-09,655.35,816.41,approximate real
2024-02-16,641.42,817.96,approximate real
2024-02-23,648.47,830.92,approximate real
2024-03-01,653.01,796.57,approximate real
2024-03-08,661.98,825.40,approximate real
2024-03-15,645.83,825.52,approximate real
2024-03-22,662.53,797.86,approximate real
2024-03-29,656.73,810.59,approximate real
2024-04-05,651.89,809.25,approximate real
2024-04-12,661.66,799.85,approximate real
2024-04-19,661.19,803.78,approximate real
2024-04-26,650.84,794.45,approximate real
2024-05-03,649.31,810.68,approximate real
2024-05-10,641.02,797.49,approximate real
2024-05-17,638.46,793.51,approximate real
2024-05-24,636.20,782.44,approximate real
2024-05-31,636.18,760.97,approximate real
2024-06-07,613.68,759.14,approximate real
2024-06-14,628.35,760.58,approximate real
2024-06-21,598.29,740.22,approximate real
2024-06-28,609.71,755.08,approximate real
2024-07-05,614.78,746.83,approximate real
2024-07-12,613.56,745.13,approximate real
2024-07-19,608.76,753.19,approximate real
2024-07-26,611.88,750.43,approximate real
2024-08-02,610.79,743.36,approximate real
2024-08-09,610.84,754.90,approximate real
2024-08-16,620.10,736.35,approximate real
2024-08-23,613.25,746.59,approximate real
2024-08-30,603.06,743.08,approximate real
2024-09-06,608.73,732.52,approximate real
2024-09-13,601.29,734.28,approximate real
2024-09-20,600.43,718.32,approximate real
2024-09-27,595.44,732.39,approximate real
2024-10-04,582.80,720.19,approximate real
2024-10-11,580.53,714.15,approximate real
2024-10-18,584.48,723.39,approximate real
2024-10-25,580.33,705.48,approximate real
2024-11-01,573.21,695.95,approximate real
2024-11-08,570.70,690.88,approximate real
2024-11-15,574.33,704.29,approximate real
2024-11-22,559.78,685.31,approximate real
2024-11-29,563.28,705.71,approximate real
2024-12-06,555.45,671.12,approximate real
2024-12-13,552.03,697.46,approximate real
2024-12-20,556.59,681.69,approximate real
2024-12-27,558.29,683.67,approximate real
2025-01-03,561.55,684.53,approximate real
2025-01-10,567.83,696.53,approximate real
2025-01-17,563.46,697.48,approximate real
2025-01-24,570.76,711.05,approximate real
2025-01-31,568.14,707.58,approximate real
2025-02-07,575.28,712.31,approximate real
2025-02-14,575.89,712.65,approximate real
2025-02-21,580.58,719.54,approximate real
2025-02-28,581.07,718.71,approximate real
2025-03-07,570.09,698.82,approximate real
2025-03-14,585.05,697.96,approximate real
2025-03-21,563.96,710.95,approximate real
2025-03-28,560.21,702.62,approximate real
2025-04-04,571.95,696.03,approximate real
2025-04-11,567.25,693.90,approximate real
2025-04-18,563.74,692.78,approximate real
2025-04-25,564.33,686.79,approximate real
2025-05-02,561.04,686.00,approximate real
2025-05-09,556.28,694.90,approximate real
2025-05-16,562.68,686.62,approximate real
2025-05-23,558.71,698.82,approximate real
2025-05-30,569.18,683.05,approximate real
2025-06-06,563.01,706.01,approximate real
2025-06-13,559.49,702.67,approximate real
2025-06-20,563.07,702.05,approximate real
2025-06-27,563.10,705.36,approximate real
2025-07-04,552.87,708.32,approximate real
2025-07-11,546.94,700.61,approximate real
2025-07-18,548.96,675.27,approximate real
2025-07-25,544.59,677.26,approximate real
2025-08-01,535.71,680.00,approximate real
2025-08-08,531.55,682.71,approximate real
2025-08-15,531.39,684.14,approximate real
2025-08-22,515.20,670.86,approximate real
2025-08-29,509.33,674.83,approximate real
2025-09-05,507.36,663.96,approximate real
2025-09-12,504.27,661.77,approximate real
2025-09-19,501.31,652.08,approximate real
2025-09-26,502.19,652.61,approximate real
2025-10-03,492.37,645.85,approximate real
2025-10-10,480.15,645.53,approximate real
2025-10-17,474.89,658.43,approximate real
2025-10-24,463.43,639.07,approximate real
2025-10-31,463.78,664.39,approximate real
2025-11-07,456.60,643.95,approximate real
2025-11-14,454.71,638.15,approximate real
2025-11-21,442.26,626.47,approximate real
2025-11-28,444.78,635.60,approximate real
2025-12-05,445.31,622.06,approximate real
2025-12-12,429.90,624.31,approximate real
2025-12-19,427.41,640.48,approximate real
2025-12-26,434.14,623.23,approximate real
2026-01-02,432.59,637.19,approximate real
2026-01-09,441.34,626.37,approximate real
2026-01-16,445.08,635.72,approximate real
2026-01-23,450.59,654.17,approximate real
2026-01-30,499.65,692.13,approximate real
2026-02-06,558.72,768.79,approximate real
2026-02-13,615.85,817.09,approximate real
2026-02-20,675.85,864.07,approximate real
2026-02-27,727.18,930.77,approximate real
2026-03-06,788.63,990.64,approximate real
2026-03-13,825.40,1044.97,approximate real
2026-03-20,817.23,1005.44,approximate real
2026-03-27,795.10,990.18,approximate real
2026-04-03,789.14,972.02,approximate real
2026-04-10,753.15,951.40,approximate real
2026-04-17,734.96,934.97,approximate real
2026-04-24,721.96,915.87,approximate real
2026-05-01,698.37,888.21,approximate real
2026-05-08,693.51,886.37,approximate real
2026-05-15,677.67,872.66,approximate real
2026-05-22,668.68,856.70,approximate real
2026-05-29,655.38,845.31,approximate real
2026-06-05,650.15,827.78,approximate real
2026-06-12,630.15,809.23,approximate real
2026-06-19,606.54,789.44,approximate real
2026-06-26,597.39,770.05,approximate real
2026-07-03,598.51,780.10,approximate real
2026-07-10,580.41,771.66,approximate real
2026-07-17,592.10,765.51,approximate real
2026-07-24,580.97,746.45,approximate real
2026-07-31,563.85,741.35,approximate real
2026-08-07,549.17,751.76,approximate real
2026-08-14,560.35,736.35,approximate real
2026-08-21,544.31,735.45,approximate real
