date,route,vessel_class,rate,tier,source
2026-08-17,C5,Capesize,17470.5,A,clarksons_nlp_extract
2026-08-17,C10,Capesize,15807.08,A,clarksons_nlp_extract
2026-08-18,C2,Capesize,16013.98,B,clarksons_nlp_extract
2026-08-18,C3,Capesize,12239.7,A,clarksons_nlp_extract
2026-08-18,C4,Capesize,28040.05,A,clarksons_nlp_extract
2026-08-18,C5,Capesize,16706.88,B,clarksons_nlp_extract
2026-08-18,C10,Capesize,15252.28,A,clarksons_nlp_extract
2026-08-19,C2,Capesize,13846.81,A,clarksons_nlp_extract
2026-08-19,C3,Capesize,30895.76,A,clarksons_nlp_extract
2026-08-19,C4,Capesize,9260.54,A,clarksons_nlp_extract
2026-08-19,C5,Capesize,9361.37,A,clarksons_nlp_extract
2026-08-19,C10,Capesize,13237.21,A,clarksons_nlp_extract
2026-08-20,C2,Capesize,31305.05,B,clarksons_nlp_extract
2026-08-20,C3,Capesize,18427.61,A,clarksons_nlp_extract
2026-08-20,C4,Capesize,15622.34,B,clarksons_nlp_extract
2026-08-20,C5,Capesize,16232.35,A,clarksons_nlp_extract
2026-08-20,C10,Capesize,22149.56,B,clarksons_nlp_extract
2026-08-21,C2,Capesize,12197.15,B,clarksons_nlp_extract
2026-08-21,C3,Capesize,24234.39,B,clarksons_nlp_extract
2026-08-21,C4,Capesize,31489.2,B,clarksons_nlp_extract
2026-08-21,C5,Capesize,15677.99,A,clarksons_nlp_extract
2026-08-21,C10,Capesize,15330.97,A,clarksons_nlp_extract
2026-08-24,C2,Capesize,13616.55,A,clarksons_nlp_extract
2026-08-24,C3,Capesize,23161.85,A,clarksons_nlp_extract
2026-08-24,C4,Capesize,13745.42,A,clarksons_nlp_extract
2026-08-24,C5,Capesize,26452.16,B,clarksons_nlp_extract
2026-08-24,C10,Capesize,31601.13,B,clarksons_nlp_extract
2026-08-25,C2,Capesize,13347.41,B,clarksons_nlp_extract
2026-08-25,C3,Capesize,27007.41,B,clarksons_nlp_extract
2026-08-25,C4,Capesize,23226.69,A,clarksons_nlp_extract
2026-08-25,C5,Capesize,13070.48,A,clarksons_nlp_extract
2026-08-25,C10,Capesize,11893.14,B,clarksons_nlp_extract
2026-08-26,C2,Capesize,24495.74,A,clarksons_nlp_extract
2026-08-26,C3,Capesize,12765.22,A,clarksons_nlp_extract
2026-08-26,C4,Capesize,16511.31,A,clarksons_nlp_extract
2026-08-26,C5,Capesize,10509.57,A,clarksons_nlp_extract
2026-08-26,C10,Capesize,25389.65,A,clarksons_nlp_extract
2026-08-27,C2,Capesize,16961.13,A,clarksons_nlp_extract
2026-08-27,C3,Capesize,9117.31,A,clarksons_nlp_extract
2026-08-27,C4,Capesize,19066.96,A,clarksons_nlp_extract
2026-08-27,C5,Capesize,29941.06,A,clarksons_nlp_extract
2026-08-27,C10,Capesize,26742.43,A,clarksons_nlp_extract
2026-08-28,C2,Capesize,10868.41,B,clarksons_nlp_extract
2026-08-28,C3,Capesize,26086.32,A,clarksons_nlp_extract
2026-08-28,C4,Capesize,23646.15,B,clarksons_nlp_extract
2026-08-28,C5,Capesize,16344.84,A,clarksons_nlp_extract
2026-08-28,C10,Capesize,22590.33,A,clarksons_nlp_extract
